samp	P1-S10	P1-S11	P1-S12	P1-S13	P1-S14	P1-S15	P1-S1	P1-S2	P1-S3	P1-S4	P1-S5	P1-S6	P1-S7	P1-S8	P1-S9	P3-S1	P3-S2	P3-S3	P3-S4	P3-S5	P3-S6	P3-S8	P3-S9	P3-S10	P3-S11	P3-S12	P3-S13	P3-S14	P3-S15	P3-S16	P3-S7	P4-S1	P4-S2	P4-S3	P4-S4	P4-S5	P4-S6	P4-S7	P4-S8	P4-S9	P4-S10	P5-S1	P5-S2	P5-S3	P5-S4	P5-S5	P5-S6	P5-S7	P6-S1	P6-S2	P6-S3	P6-S4	P6-S5	P6-S6	P7-S1	P7-S2	P7-S3	P7-S4	P7-S5	P7-S6
P1-S5	6/21568	2/21572	104/21470	3/21571	2/21572	2/21572	67/21507	8/21566	3/21571	3/21571	0/21574	9/21565	6/21568	2/21572	4/21570	10994/10580	10993/10581	10994/10580	10994/10580	10992/10582	11203/10371	11202/10372	11202/10372	11202/10372	11202/10372	11203/10371	11202/10372	11203/10371	11203/10371	11203/10371	11040/10534	10682/10892	10682/10892	10682/10892	10682/10892	10862/10712	10682/10892	10682/10892	10681/10893	10682/10892	10681/10893	10682/10892	10682/10892	10682/10892	10682/10892	10682/10892	10682/10892	10682/10892	10926/10648	10926/10648	10926/10648	10926/10648	10926/10648	10926/10648	10833/10741	10833/10741	10835/10739	10833/10741	10833/10741	10833/10741
P1-S6	2/21568	4/21566	106/21464	3/21567	3/21567	3/21567	66/21504	5/21565	3/21567	4/21566	5/21565	0/21570	5/21565	4/21566	7/21563	10992/10578	10991/10579	10992/10578	10992/10578	10990/10580	11200/10370	11199/10371	11199/10371	11199/10371	11199/10371	11200/10370	11199/10371	11200/10370	11200/10370	11200/10370	11038/10532	10678/10892	10678/10892	10678/10892	10678/10892	10858/10712	10678/10892	10678/10892	10677/10893	10678/10892	10677/10893	10679/10891	10679/10891	10679/10891	10679/10891	10679/10891	10679/10891	10679/10891	10924/10646	10924/10646	10924/10646	10924/10646	10924/10646	10924/10646	10830/10740	10830/10740	10831/10739	10830/10740	10830/10740	10830/10740
P1-S7	0/21569	1/21568	103/21466	2/21567	0/21569	0/21569	61/21508	3/21566	1/21568	1/21568	1/21568	4/21565	0/21569	1/21568	2/21567	10989/10580	10988/10581	10989/10580	10989/10580	10987/10582	11197/10372	11196/10373	11196/10373	11196/10373	11196/10373	11197/10372	11196/10373	11197/10372	11197/10372	11197/10372	11034/10535	10677/10892	10677/10892	10677/10892	10677/10892	10857/10712	10677/10892	10677/10892	10676/10893	10677/10892	10676/10893	10676/10893	10676/10893	10676/10893	10676/10893	10676/10893	10676/10893	10676/10893	10920/10649	10920/10649	10920/10649	10920/10649	10920/10649	10920/10649	10827/10742	10827/10742	10829/10740	10827/10742	10827/10742	10827/10742
P1-S8	6/21568	2/21572	104/21470	2/21572	1/21573	1/21573	67/21507	8/21566	2/21572	3/21571	2/21572	8/21566	6/21568	0/21574	4/21570	10994/10580	10993/10581	10994/10580	10994/10580	10992/10582	11203/10371	11202/10372	11202/10372	11202/10372	11202/10372	11203/10371	11202/10372	11203/10371	11203/10371	11203/10371	11040/10534	10681/10893	10681/10893	10681/10893	10681/10893	10861/10713	10681/10893	10681/10893	10680/10894	10681/10893	10680/10894	10681/10893	10681/10893	10681/10893	10681/10893	10681/10893	10681/10893	10681/10893	10926/10648	10926/10648	10926/10648	10926/10648	10926/10648	10926/10648	10832/10742	10832/10742	10834/10740	10832/10742	10832/10742	10832/10742
P1-S9	6/21567	3/21570	102/21471	4/21569	2/21571	2/21571	67/21506	9/21564	3/21570	3/21570	3/21570	10/21563	6/21567	3/21570	0/21573	10994/10579	10993/10580	10994/10579	10994/10579	10992/10581	11202/10371	11201/10372	11201/10372	11201/10372	11201/10372	11202/10371	11201/10372	11202/10371	11202/10371	11202/10371	11039/10534	10681/10892	10681/10892	10681/10892	10681/10892	10861/10712	10681/10892	10681/10892	10680/10893	10681/10892	10680/10893	10681/10892	10681/10892	10681/10892	10681/10892	10681/10892	10681/10892	10681/10892	10926/10647	10926/10647	10926/10647	10926/10647	10926/10647	10926/10647	10832/10741	10832/10741	10834/10739	10832/10741	10832/10741	10832/10741
P3-S1	10210/10580	10210/10580	10271/10519	10211/10579	10210/10580	10210/10580	10242/10548	10211/10579	10210/10580	10211/10579	10210/10580	10212/10578	10210/10580	10210/10580	10211/10579	0/20790	20/20770	17/20773	40/20750	22/20768	11007/9783	11006/9784	11006/9784	11007/9783	11006/9784	11006/9784	11006/9784	11006/9784	11007/9783	11007/9783	10840/9950	10365/10425	10365/10425	10365/10425	10365/10425	10545/10245	10365/10425	10365/10425	10365/10425	10365/10425	10365/10425	10259/10531	10259/10531	10259/10531	10259/10531	10259/10531	10259/10531	10259/10531	10255/10535	10255/10535	10255/10535	10255/10535	10255/10535	10255/10535	9968/10822	9968/10822	9969/10821	9968/10822	9968/10822	9968/10822
P3-S2	10241/10581	10241/10581	10302/10520	10241/10581	10241/10581	10240/10582	10273/10549	10242/10580	10241/10581	10242/10580	10241/10581	10243/10579	10241/10581	10241/10581	10242/10580	52/20770	0/20822	52/20770	72/20750	52/20770	11038/9784	11037/9785	11036/9786	11038/9784	11036/9786	11037/9785	11037/9785	11037/9785	11038/9784	11038/9784	10872/9950	10397/10425	10397/10425	10397/10425	10397/10425	10577/10245	10397/10425	10397/10425	10397/10425	10397/10425	10397/10425	10290/10532	10290/10532	10291/10531	10291/10531	10290/10532	10290/10532	10290/10532	10287/10535	10287/10535	10287/10535	10287/10535	10287/10535	10287/10535	9999/10823	9999/10823	10000/10822	9999/10823	9999/10823	9999/10823
P3-S3	10233/10580	10233/10580	10294/10519	10234/10579	10233/10580	10233/10580	10265/10548	10234/10579	10233/10580	10234/10579	10233/10580	10235/10578	10233/10580	10233/10580	10234/10579	40/20773	43/20770	0/20813	63/20750	45/20768	11030/9783	11029/9784	11029/9784	11030/9783	11029/9784	11029/9784	11029/9784	11029/9784	11030/9783	11030/9783	10862/9951	10388/10425	10388/10425	10388/10425	10388/10425	10568/10245	10388/10425	10388/10425	10388/10425	10388/10425	10388/10425	10282/10531	10282/10531	10282/10531	10282/10531	10282/10531	10282/10531	10282/10531	10278/10535	10278/10535	10278/10535	10278/10535	10278/10535	10278/10535	9991/10822	9991/10822	9992/10821	9991/10822	9991/10822	9991/10822
P3-S4	10232/10580	10232/10580	10293/10519	10233/10579	10232/10580	10232/10580	10264/10548	10233/10579	10232/10580	10233/10579	10232/10580	10234/10578	10232/10580	10232/10580	10233/10579	62/20750	62/20750	62/20750	0/20812	62/20750	11029/9783	11028/9784	11028/9784	11029/9783	11028/9784	11028/9784	11028/9784	11028/9784	11029/9783	11029/9783	10861/9951	10389/10423	10389/10423	10389/10423	10389/10423	10569/10243	10389/10423	10389/10423	10389/10423	10389/10423	10389/10423	10282/10530	10282/10530	10282/10530	10282/10530	10282/10530	10282/10530	10282/10530	10276/10536	10276/10536	10276/10536	10276/10536	10276/10536	10276/10536	9990/10822	9990/10822	9991/10821	9990/10822	9990/10822	9990/10822
P3-S5	10246/10582	10246/10582	10307/10521	10247/10581	10246/10582	10246/10582	10278/10550	10247/10581	10246/10582	10247/10581	10246/10582	10248/10580	10246/10582	10246/10582	10247/10581	60/20768	58/20770	60/20768	78/20750	0/20828	11044/9784	11043/9785	11043/9785	11044/9784	11043/9785	11043/9785	11043/9785	11043/9785	11044/9784	11044/9784	10877/9951	10400/10428	10400/10428	10400/10428	10400/10428	10580/10248	10400/10428	10400/10428	10400/10428	10400/10428	10400/10428	10296/10532	10296/10532	10296/10532	10296/10532	10296/10532	10296/10532	10296/10532	10292/10536	10292/10536	10292/10536	10292/10536	10292/10536	10292/10536	10002/10826	10002/10826	10003/10825	10002/10826	10002/10826	10002/10826
P3-S6	33417/10372	33418/10371	33484/10305	33418/10371	33417/10372	33417/10372	33438/10351	33418/10371	33417/10372	33417/10372	33418/10371	33419/10370	33417/10372	33418/10371	33418/10371	34006/9783	34005/9784	34006/9783	34006/9783	34005/9784	0/43789	4/43785	3/43786	4/43785	1/43788	4/43785	3/43786	2/43787	2/43787	3/43786	14311/29478	32714/11075	32714/11075	32714/11075	32714/11075	32877/10912	32714/11075	32713/11076	32713/11076	32714/11075	32713/11076	33519/10270	33519/10270	33515/10274	33515/10274	33515/10274	33515/10274	33515/10274	33472/10317	33472/10317	33472/10317	33472/10317	33472/10317	33472/10317	33125/10664	33125/10664	33126/10663	33125/10664	33125/10664	33124/10665
P3-S8	33418/10373	33419/10372	33485/10306	33419/10372	33418/10373	33418/10373	33439/10352	33419/10372	33418/10373	33418/10373	33419/10372	33420/10371	33418/10373	33419/10372	33419/10372	34007/9784	34006/9785	34007/9784	34007/9784	34006/9785	6/43785	0/43791	5/43786	5/43786	4/43787	5/43786	4/43787	5/43786	6/43785	5/43786	14312/29479	32715/11076	32715/11076	32715/11076	32715/11076	32878/10913	32715/11076	32714/11077	32714/11077	32715/11076	32714/11077	33521/10270	33521/10270	33517/10274	33517/10274	33517/10274	33517/10274	33517/10274	33473/10318	33473/10318	33473/10318	33473/10318	33473/10318	33473/10318	33126/10665	33126/10665	33127/10664	33126/10665	33126/10665	33125/10666
P3-S9	33417/10373	33418/10372	33484/10306	33417/10373	33417/10373	33416/10374	33438/10352	33418/10372	33417/10373	33417/10373	33418/10372	33419/10371	33417/10373	33418/10372	33418/10372	34006/9784	34004/9786	34006/9784	34006/9784	34005/9785	4/43786	4/43786	0/43790	5/43785	1/43789	5/43785	3/43787	3/43787	3/43787	4/43786	14311/29479	32714/11076	32714/11076	32714/11076	32714/11076	32877/10913	32714/11076	32713/11077	32713/11077	32714/11076	32713/11077	33519/10271	33519/10271	33516/10274	33516/10274	33515/10275	33515/10275	33515/10275	33472/10318	33472/10318	33472/10318	33472/10318	33472/10318	33472/10318	33125/10665	33125/10665	33126/10664	33125/10665	33125/10665	33124/10666
P3-S10	33415/10373	33416/10372	33482/10306	33416/10372	33415/10373	33415/10373	33436/10352	33416/10372	33415/10373	33415/10373	33416/10372	33417/10371	33415/10373	33416/10372	33416/10372	34005/9783	34004/9784	34005/9783	34005/9783	34004/9784	3/43785	2/43786	3/43785	0/43788	1/43787	3/43785	2/43786	2/43786	3/43785	3/43785	14310/29478	32712/11076	32712/11076	32712/11076	32712/11076	32875/10913	32712/11076	32711/11077	32711/11077	32712/11076	32711/11077	33518/10270	33518/10270	33514/10274	33514/10274	33514/10274	33514/10274	33514/10274	33470/10318	33470/10318	33470/10318	33470/10318	33470/10318	33470/10318	33123/10665	33123/10665	33124/10664	33123/10665	33123/10665	33122/10666
P3-S11	33424/10373	33425/10372	33491/10306	33424/10373	33424/10373	33423/10374	33445/10352	33425/10372	33424/10373	33424/10373	33425/10372	33426/10371	33424/10373	33425/10372	33425/10372	34013/9784	34011/9786	34013/9784	34013/9784	34012/9785	9/43788	10/43787	8/43789	10/43787	0/43797	9/43788	8/43789	9/43788	10/43787	11/43786	14315/29482	32720/11077	32720/11077	32720/11077	32720/11077	32883/10914	32720/11077	32719/11078	32719/11078	32720/11077	32719/11078	33526/10271	33526/10271	33523/10274	33523/10274	33522/10275	33522/10275	33522/10275	33479/10318	33479/10318	33479/10318	33479/10318	33479/10318	33479/10318	33132/10665	33132/10665	33133/10664	33132/10665	33132/10665	33131/10666
P3-S12	33420/10372	33421/10371	33487/10305	33421/10371	33420/10372	33420/10372	33441/10351	33421/10371	33420/10372	33420/10372	33421/10371	33422/10370	33420/10372	33421/10371	33421/10371	34008/9784	34007/9785	34008/9784	34008/9784	34007/9785	7/43785	6/43786	7/43785	7/43785	4/43788	0/43792	2/43790	2/43790	4/43788	3/43789	14312/29480	32716/11076	32716/11076	32716/11076	32716/11076	32879/10913	32716/11076	32715/11077	32715/11077	32716/11076	32715/11077	33522/10270	33522/10270	33518/10274	33518/10274	33518/10274	33518/10274	33518/10274	33475/10317	33475/10317	33475/10317	33475/10317	33475/10317	33475/10317	33128/10664	33128/10664	33129/10663	33128/10664	33128/10664	33127/10665
P3-S13	33421/10373	33422/10372	33488/10306	33422/10372	33421/10373	33421/10373	33442/10352	33422/10372	33421/10373	33421/10373	33422/10372	33423/10371	33421/10373	33422/10372	33422/10372	34010/9784	34009/9785	34010/9784	34010/9784	34009/9785	8/43786	7/43787	7/43787	8/43786	5/43789	4/43790	0/43794	3/43791	4/43790	3/43791	14314/29480	32717/11077	32717/11077	32717/11077	32717/11077	32880/10914	32717/11077	32716/11078	32716/11078	32717/11077	32716/11078	33524/10270	33524/10270	33520/10274	33520/10274	33520/10274	33520/10274	33520/10274	33476/10318	33476/10318	33476/10318	33476/10318	33476/10318	33476/10318	33129/10665	33129/10665	33130/10664	33129/10665	33129/10665	33128/10666
P3-S14	33421/10372	33422/10371	33488/10305	33422/10371	33421/10372	33421/10372	33442/10351	33422/10371	33421/10372	33421/10372	33422/10371	33423/10370	33421/10372	33422/10371	33422/10371	34009/9784	34008/9785	34009/9784	34009/9784	34008/9785	6/43787	7/43786	6/43787	7/43786	5/43788	3/43790	2/43791	0/43793	2/43791	3/43790	14315/29478	32717/11076	32717/11076	32717/11076	32717/11076	32880/10913	32717/11076	32716/11077	32716/11077	32717/11076	32716/11077	33523/10270	33523/10270	33519/10274	33519/10274	33519/10274	33519/10274	33519/10274	33476/10317	33476/10317	33476/10317	33476/10317	33476/10317	33476/10317	33129/10664	33129/10664	33130/10663	33129/10664	33129/10664	33128/10665
P3-S15	33420/10372	33421/10371	33487/10305	33421/10371	33420/10372	33420/10372	33441/10351	33421/10371	33420/10372	33420/10372	33421/10371	33422/10370	33420/10372	33421/10371	33421/10371	34009/9783	34008/9784	34009/9783	34009/9783	34008/9784	5/43787	7/43785	5/43787	7/43785	5/43787	4/43788	2/43790	1/43791	0/43792	2/43790	14314/29478	32717/11075	32717/11075	32717/11075	32717/11075	32880/10912	32717/11075	32716/11076	32716/11076	32717/11075	32716/11076	33522/10270	33522/10270	33518/10274	33518/10274	33518/10274	33518/10274	33518/10274	33475/10317	33475/10317	33475/10317	33475/10317	33475/10317	33475/10317	33128/10664	33128/10664	33129/10663	33128/10664	33128/10664	33127/10665
P3-S16	33419/10372	33420/10371	33486/10305	33420/10371	33419/10372	33419/10372	33440/10351	33420/10371	33419/10372	33419/10372	33420/10371	33421/10370	33419/10372	33420/10371	33420/10371	34008/9783	34007/9784	34008/9783	34008/9783	34007/9784	5/43786	5/43786	5/43786	6/43785	5/43786	2/43789	0/43791	1/43790	1/43790	0/43791	14313/29478	32716/11075	32716/11075	32716/11075	32716/11075	32879/10912	32716/11075	32715/11076	32715/11076	32716/11075	32715/11076	33521/10270	33521/10270	33517/10274	33517/10274	33517/10274	33517/10274	33517/10274	33474/10317	33474/10317	33474/10317	33474/10317	33474/10317	33474/10317	33127/10664	33127/10664	33128/10663	33127/10664	33127/10664	33126/10665
P3-S7	33049/10535	33050/10534	33119/10465	33050/10534	33049/10535	33049/10535	33072/10512	33051/10533	33050/10534	33049/10535	33050/10534	33052/10532	33049/10535	33050/10534	33050/10534	33634/9950	33634/9950	33633/9951	33633/9951	33633/9951	14106/29478	14105/29479	14105/29479	14106/29478	14102/29482	14104/29480	14104/29480	14106/29478	14106/29478	14106/29478	0/43584	32439/11145	32439/11145	32439/11145	32439/11145	32590/10994	32439/11145	32440/11144	32439/11145	32439/11145	32439/11145	33236/10348	33236/10348	33233/10351	33233/10351	33233/10351	33233/10351	33233/10351	32904/10680	32904/10680	32904/10680	32904/10680	32904/10680	32904/10680	32846/10738	32846/10738	32846/10738	32846/10738	32846/10738	32845/10739
P4-S1	14142/10892	14142/10892	14212/10822	14141/10893	14141/10893	14141/10893	14186/10848	14142/10892	14141/10893	14142/10892	14142/10892	14142/10892	14142/10892	14141/10893	14142/10892	14609/10425	14609/10425	14609/10425	14611/10423	14606/10428	13959/11075	13958/11076	13958/11076	13958/11076	13957/11077	13958/11076	13957/11077	13958/11076	13959/11075	13959/11075	13889/11145	0/25034	0/25034	0/25034	0/25034	254/24780	1/25033	1/25033	0/25034	0/25034	0/25034	14110/10924	14110/10924	14109/10925	14109/10925	14110/10924	14110/10924	14110/10924	14662/10372	14662/10372	14662/10372	14662/10372	14662/10372	14662/10372	14254/10780	14254/10780	14255/10779	14254/10780	14254/10780	14254/10780
P4-S2	14142/10892	14142/10892	14212/10822	14141/10893	14141/10893	14141/10893	14186/10848	14142/10892	14141/10893	14142/10892	14142/10892	14142/10892	14142/10892	14141/10893	14142/10892	14609/10425	14609/10425	14609/10425	14611/10423	14606/10428	13959/11075	13958/11076	13958/11076	13958/11076	13957/11077	13958/11076	13957/11077	13958/11076	13959/11075	13959/11075	13889/11145	0/25034	0/25034	0/25034	0/25034	254/24780	1/25033	1/25033	0/25034	0/25034	0/25034	14110/10924	14110/10924	14109/10925	14109/10925	14110/10924	14110/10924	14110/10924	14662/10372	14662/10372	14662/10372	14662/10372	14662/10372	14662/10372	14254/10780	14254/10780	14255/10779	14254/10780	14254/10780	14254/10780
P4-S3	14211/10892	14211/10892	14281/10822	14210/10893	14210/10893	14210/10893	14255/10848	14211/10892	14210/10893	14211/10892	14211/10892	14211/10892	14211/10892	14210/10893	14211/10892	14678/10425	14678/10425	14678/10425	14680/10423	14675/10428	14028/11075	14027/11076	14027/11076	14027/11076	14026/11077	14027/11076	14026/11077	14027/11076	14028/11075	14028/11075	13958/11145	69/25034	69/25034	0/25103	69/25034	323/24780	45/25058	49/25054	49/25054	49/25054	48/25055	14179/10924	14179/10924	14178/10925	14178/10925	14179/10924	14179/10924	14179/10924	14731/10372	14731/10372	14731/10372	14731/10372	14731/10372	14731/10372	14323/10780	14323/10780	14324/10779	14323/10780	14323/10780	14323/10780
P4-S4	14144/10892	14144/10892	14214/10822	14143/10893	14143/10893	14143/10893	14188/10848	14144/10892	14143/10893	14144/10892	14144/10892	14144/10892	14144/10892	14143/10893	14144/10892	14611/10425	14611/10425	14611/10425	14613/10423	14608/10428	13961/11075	13960/11076	13960/11076	13960/11076	13959/11077	13960/11076	13959/11077	13960/11076	13961/11075	13961/11075	13891/11145	2/25034	2/25034	2/25034	0/25036	256/24780	3/25033	3/25033	1/25035	2/25034	2/25034	14112/10924	14112/10924	14111/10925	14111/10925	14112/10924	14112/10924	14112/10924	14663/10373	14663/10373	14663/10373	14663/10373	14663/10373	14663/10373	14256/10780	14256/10780	14257/10779	14256/10780	14256/10780	14256/10780
P4-S5	14070/10712	14070/10712	14140/10642	14069/10713	14069/10713	14069/10713	14114/10668	14070/10712	14069/10713	14070/10712	14070/10712	14070/10712	14070/10712	14069/10713	14070/10712	14537/10245	14537/10245	14537/10245	14539/10243	14534/10248	13870/10912	13869/10913	13869/10913	13869/10913	13868/10914	13869/10913	13868/10914	13869/10913	13870/10912	13870/10912	13788/10994	2/24780	2/24780	2/24780	2/24780	0/24782	3/24779	3/24779	2/24780	2/24780	2/24780	14086/10696	14086/10696	14085/10697	14085/10697	14086/10696	14086/10696	14086/10696	14590/10192	14590/10192	14590/10192	14590/10192	14590/10192	14590/10192	14159/10623	14159/10623	14160/10622	14159/10623	14159/10623	14159/10623
P4-S6	14177/10892	14177/10892	14247/10822	14176/10893	14176/10893	14176/10893	14221/10848	14177/10892	14176/10893	14177/10892	14177/10892	14177/10892	14177/10892	14176/10893	14177/10892	14644/10425	14644/10425	14644/10425	14646/10423	14641/10428	13994/11075	13993/11076	13993/11076	13993/11076	13992/11077	13993/11076	13992/11077	13993/11076	13994/11075	13994/11075	13924/11145	36/25033	36/25033	11/25058	36/25033	290/24779	0/25069	17/25052	16/25053	16/25053	16/25053	14145/10924	14145/10924	14144/10925	14144/10925	14145/10924	14145/10924	14145/10924	14697/10372	14697/10372	14697/10372	14697/10372	14697/10372	14697/10372	14289/10780	14289/10780	14290/10779	14289/10780	14289/10780	14289/10780
